ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,M_motocycle,M_car,tricycle_taxi,taxi,HND,Degree,Posgraduate
255,0,5.0,20,1,34,0,6,4,1,1.45,0.1,1,1,1,0,0,0,1,0,0
88,0,13.0,60,0,26,1,6,1,0,1.2,0.05,1,1,1,0,0,0,0,0,0
217,1,3.5,15,0,42,0,5,3,1,1.5,0.14400000000000002,0,1,0,1,0,0,1,0,0
81,1,8.0,40,0,33,0,2,0,1,1.85,0.65,0,0,0,0,0,0,1,0,0
347,0,0.75,5,1,43,0,6,4,1,1.85,0.06,1,0,1,0,0,0,1,0,0
392,1,1.6,15,1,47,0,6,3,0,0.35,0.0,1,0,0,0,0,1,0,0,1
407,1,8.9,35,1,33,1,2,1,0,0.65,0.085,0,1,0,0,1,0,0,0,1
284,1,3.4,20,0,56,0,7,4,1,1.9,0.24,1,0,0,0,0,0,1,0,0
79,1,7.9,18,0,34,0,4,2,0,0.65,0.05,1,0,1,0,0,0,0,0,0
417,0,5.8,15,1,48,0,5,2,1,5.2,0.45,1,0,0,0,0,0,0,1,0
309,1,4.5,18,0,27,1,1,1,0,0.7,0.04,1,1,0,0,1,0,0,0,0
96,1,1.0,4,1,50,0,8,3,1,1.5,0.5,0,0,0,0,0,0,1,0,0
383,1,1.8,15,0,52,1,2,1,0,0.75,0.0,1,1,0,0,0,1,0,0,0
181,1,7.5,16,0,31,0,5,3,0,1.2,0.1,0,1,1,0,0,0,1,0,0
94,0,2.5,10,1,29,1,1,0,0,0.52,0.12,1,0,0,0,1,0,0,0,0
102,0,8.5,20,1,52,0,8,4,1,5.0,0.4,1,0,0,0,0,0,0,1,0
349,1,3.2,14,1,28,1,1,0,1,0.52,0.095,1,1,0,0,1,0,0,0,1
231,0,0.5,5,0,32,0,4,2,0,0.9,0.1,0,0,1,0,0,0,0,0,0
174,1,9.4,24,1,37,0,6,4,1,1.121,0.08,1,1,1,0,0,0,1,0,0
398,0,6.3,35,1,37,1,4,2,1,1.6,0.06,0,0,1,0,0,0,1,0,0
83,1,5.0,20,1,35,0,5,1,0,1.65,0.15,1,0,1,0,0,0,1,0,0
400,1,7.4,40,0,24,1,1,0,0,0.95,0.08,1,1,0,0,1,0,0,0,0
305,1,1.0,15,1,25,1,6,3,0,0.75,0.01,1,0,0,0,0,1,0,0,0
109,1,14.5,30,1,30,0,3,1,0,0.95,0.15,0,1,1,0,0,0,0,0,0
192,1,3.4,10,1,30,1,3,1,0,0.6,0.15,1,0,1,0,0,0,0,0,0
318,0,0.95,10,0,38,0,4,3,0,0.75,0.01,1,0,0,0,0,1,0,0,0
247,1,9.0,50,1,39,0,3,2,1,2.1,0.4,0,0,0,0,0,0,1,0,0
122,0,6.3,14,1,25,1,9,5,0,0.45,0.025,0,0,1,0,0,0,0,0,0
364,1,1.8,25,1,26,1,1,0,0,1.35,0.0,1,0,0,0,0,1,1,0,0
